,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
441,11630800.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
148,11630801.0,D,Comunitа educante,8.0,Formazione
210,11630802.0,C,Informazione e comunicazione,6.0,Comunicazione
142,11630802.0,D,Comunitа educante,7.0,Ascolto
374,11630802.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
83,11630802.0,D,Comunitа educante,8.0,Formazione
99,11630803.0,D,Comunitа educante,8.0,Formazione
483,11630803.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
132,11630803.0,D,Comunitа educante,7.0,Ascolto
436,11630804.0,C,Informazione e comunicazione,6.0,Comunicazione
437,11630804.0,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio
5,11630804.0,D,Comunitа educante,8.0,Formazione
144,11630804.0,D,Comunitа educante,7.0,Ascolto
467,11630804.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
346,11630804.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
103,11630805.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
435,11630805.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
249,11630806.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
266,11630806.0,D,Comunitа educante,8.0,Formazione
105,11630806.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
315,11630806.0,C,Informazione e comunicazione,6.0,Comunicazione
489,11630807.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
291,11630807.0,C,Informazione e comunicazione,6.0,Comunicazione
89,11630807.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
248,11630807.0,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family
462,11630807.0,D,Comunitа educante,8.0,Formazione
